iata_to,state_id,state_name,latitude,longitude
12839,NC,North Carolina,36.1909,-81.2356
12840,TX,Texas,30.0574,-97.6851
12841,IL,Illinois,41.2658,-89.2307
12842,OH,Ohio,40.6608,-81.1929
12843,IA,Iowa,41.4693,-91.8353
12844,GA,Georgia,32.8522,-84.8521
12845,MI,Michigan,43.4073,-85.0367
12846,NJ,New Jersey,39.9539,-74.0806
12847,OK,Oklahoma,34.9560,-99.3692
12848,LA,Louisiana,29.6564,-90.5486
12849,OK,Oklahoma,34.8657,-96.6678
12850,MT,Montana,48.4278,-108.6829
12851,MO,Missouri,40.4430,-95.3835
12852,NM,New Mexico,35.3004,-106.7985
12853,NC,North Carolina,36.0417,-78.8092
12854,PA,Pennsylvania,40.8448,-77.6850
12855,IA,Iowa,42.9503,-92.5417
12856,IA,Iowa,42.1661,-93.5028
12857,TN,Tennessee,35.6487,-84.1725
12858,AL,Alabama,33.8944,-87.5224
12859,PA,Pennsylvania,40.7549,-75.5309
12860,NC,North Carolina,35.8247,-77.2533
12861,WY,Wyoming,43.0008,-108.7230
12862,NC,North Carolina,35.4671,-78.1613
12863,NJ,New Jersey,40.7621,-75.0140
12864,MO,Missouri,36.9028,-93.5716
12865,IN,Indiana,40.5498,-85.2870
12866,TX,Texas,32.9090,-96.1312
12867,FL,Florida,30.5655,-81.8319
12868,TN,Tennessee,35.7393,-85.4560
12869,TN,Tennessee,35.6123,-87.8429
12870,ID,Idaho,42.9552,-112.4561
12871,TN,Tennessee,36.1817,-85.9324
12872,FL,Florida,29.1635,-81.5349
12873,CA,California,38.0821,-122.8471
12874,IL,Illinois,39.9548,-89.5468
12875,IA,Iowa,41.5192,-93.9426
12876,CT,Connecticut,41.7731,-72.3084
12877,TX,Texas,27.9711,-97.4055
12878,AZ,Arizona,31.9676,-110.4368
12879,AZ,Arizona,33.0539,-109.3310
12880,MI,Michigan,44.8050,-85.6634
12881,FL,Florida,30.0511,-83.1768
12882,NY,New York,41.2279,-73.9259
12883,TX,Texas,29.2274,-95.3461
12884,AZ,Arizona,33.3016,-110.4572
12885,FL,Florida,29.6502,-81.5997
12886,KS,Kansas,37.9180,-97.4201
12887,IL,Illinois,42.4338,-89.3268
12888,IN,Indiana,39.2373,-85.0931
12889,TX,Texas,32.4419,-100.5322
12890,IA,Iowa,43.1445,-93.0093
12891,MO,Missouri,37.0682,-94.1256
12892,ND,North Dakota,47.2920,-101.0278
12893,NC,North Carolina,35.2337,-80.4303
12894,PA,Pennsylvania,40.0081,-75.3065
12895,AL,Alabama,31.0889,-88.0137
12896,SD,South Dakota,43.6592,-96.8094
12897,AL,Alabama,34.2693,-87.8303
12898,VA,Virginia,36.7514,-79.9524
12899,TX,Texas,31.4763,-96.9303
12900,PA,Pennsylvania,41.2773,-75.8312
12901,NY,New York,42.4484,-73.6497
12902,GA,Georgia,32.7196,-84.0104
12903,NC,North Carolina,34.3141,-78.5117
12904,HI,Hawaii,19.8325,-155.1056
12905,ID,Idaho,42.5314,-114.3011
12906,MN,Minnesota,44.9167,-93.5885
12907,NM,New Mexico,35.1009,-106.2278
12908,VA,Virginia,38.9808,-77.3256
12909,WV,West Virginia,37.6776,-81.2180
12910,NJ,New Jersey,39.9527,-74.3995
12911,AR,Arkansas,34.7003,-92.5794
12912,NJ,New Jersey,40.7060,-74.3130
12913,TN,Tennessee,36.3160,-87.7025
12914,FL,Florida,26.9432,-80.1407
12915,IL,Illinois,39.0022,-87.9107
12916,FL,Florida,27.2479,-80.8115
12917,NJ,New Jersey,39.3628,-75.1351
12918,PA,Pennsylvania,39.7509,-76.0258
12919,AL,Alabama,33.8912,-88.1266
12920,NJ,New Jersey,39.0906,-74.7356
12921,PA,Pennsylvania,40.4001,-80.1872
12922,OK,Oklahoma,36.5463,-98.2718
12923,WI,Wisconsin,44.7639,-91.2783
12924,TX,Texas,32.5860,-95.1127
12925,MT,Montana,46.2669,-106.6749
12926,OH,Ohio,41.0797,-84.7272
12927,IL,Illinois,42.3372,-88.8696
12928,TX,Texas,32.3076,-96.0138
12929,OH,Ohio,39.2744,-84.6705
12930,WA,Washington,47.9875,-122.0748
12931,IL,Illinois,39.8044,-87.6749
12932,CT,Connecticut,41.3314,-73.4911
12933,MD,Maryland,39.1390,-76.2430
12934,IL,Illinois,42.4652,-88.4344
12935,OH,Ohio,40.8051,-83.5116
12936,WI,Wisconsin,43.0117,-89.8969
12937,AZ,Arizona,35.8389,-110.3665
12938,TX,Texas,35.4411,-100.2752
12939,MO,Missouri,38.3575,-90.6409
12940,PA,Pennsylvania,41.3289,-75.7700
12941,CO,Colorado,40.3910,-104.5794
12942,AZ,Arizona,36.8710,-111.4328
12943,GA,Georgia,31.3358,-83.0446
12944,VA,Virginia,38.6940,-77.5757
12945,NE,Nebraska,41.2431,-96.3959
12946,CA,California,33.7601,-118.3471
12947,MO,Missouri,37.1038,-89.9120
12948,NM,New Mexico,32.3804,-106.4791
12949,OH,Ohio,41.3464,-83.7948
12950,OH,Ohio,40.0673,-80.7473
12951,NJ,New Jersey,40.9616,-73.9198
12952,WI,Wisconsin,44.2303,-87.6423
12953,IN,Indiana,41.3370,-87.4037
12954,MO,Missouri,38.7174,-90.2648
12955,IL,Illinois,38.5452,-89.6142
12956,IN,Indiana,38.8423,-86.9894
12957,NJ,New Jersey,39.5015,-75.2190
12958,AL,Alabama,33.4772,-87.0812
12959,KS,Kansas,39.0994,-95.8563
12960,IL,Illinois,42.3112,-89.2906
12961,MI,Michigan,43.0031,-84.3742
12962,LA,Louisiana,30.5749,-90.9508
12963,OK,Oklahoma,34.1877,-96.9968
12964,NY,New York,40.7932,-73.7222
12965,WV,West Virginia,38.2336,-81.5385
12966,KS,Kansas,37.3934,-97.2795
12967,CT,Connecticut,41.5439,-73.2048
12968,CO,Colorado,39.6294,-105.2509
12969,GA,Georgia,32.1536,-81.9304
12970,TX,Texas,30.9300,-97.2290
12971,OK,Oklahoma,36.4596,-95.5164
12972,IA,Iowa,41.9092,-95.0643
12973,OH,Ohio,40.9646,-80.5597
12974,OH,Ohio,39.2401,-83.7880
12975,OH,Ohio,39.8565,-84.7920
12976,WI,Wisconsin,43.0071,-89.0214
12977,LA,Louisiana,30.4661,-91.9811
12978,OH,Ohio,39.7450,-84.5361
12979,RI,Rhode Island,41.8964,-71.6052
12980,NC,North Carolina,35.9441,-78.1090
12981,LA,Louisiana,30.2365,-92.1930
12982,AZ,Arizona,34.2009,-114.2089
12983,IA,Iowa,42.1895,-92.4639
12984,SD,South Dakota,43.1849,-102.7268
12985,SD,South Dakota,45.0060,-99.9539
12986,SD,South Dakota,43.7603,-96.7371
12987,MI,Michigan,42.6032,-85.0941
12988,PR,Puerto Rico,18.4328,-66.4409
12989,NY,New York,41.6399,-74.3761
12990,PA,Pennsylvania,41.0221,-80.3566
12991,MS,Mississippi,30.5044,-89.1348
12992,DE,Delaware,38.8680,-75.4229
12993,TX,Texas,31.3431,-93.8511
12994,SC,South Carolina,34.8464,-80.9061
12995,IL,Illinois,37.7511,-89.0600
12996,NC,North Carolina,34.9228,-77.7724
12997,TN,Tennessee,36.4877,-82.5912
12998,TN,Tennessee,35.0469,-85.6740
12999,TX,Texas,30.7180,-96.4669
13000,AK,Alaska,55.1182,-131.5689
13001,IA,Iowa,41.6454,-95.7914
13002,MI,Michigan,43.1888,-85.9415
13003,NY,New York,42.2361,-73.8822
13004,TX,Texas,32.5299,-97.6154
13005,NE,Nebraska,41.7572,-103.3230
13006,IL,Illinois,41.5353,-87.8461
13007,LA,Louisiana,29.6821,-90.5559
13008,PA,Pennsylvania,40.2914,-79.4054
13009,MN,Minnesota,47.8701,-95.0059
13010,IA,Iowa,41.8799,-91.8306
13011,CO,Colorado,38.8676,-106.9773
13012,VA,Virginia,37.7102,-75.7434
13013,VA,Virginia,36.7942,-81.5937
13014,PA,Pennsylvania,40.2715,-79.8872
13015,AL,Alabama,33.7323,-87.2802
13016,WA,Washington,46.3100,-124.0417
13017,NJ,New Jersey,39.4675,-75.2408
13018,PA,Pennsylvania,40.4643,-78.0670
13019,NY,New York,41.4714,-74.5397
13020,PA,Pennsylvania,41.7839,-76.7898
13021,PA,Pennsylvania,40.5488,-77.6751
13022,CA,California,35.3433,-118.9987
13023,FL,Florida,28.7924,-81.2314
13024,CT,Connecticut,41.1714,-73.3771
13025,MO,Missouri,39.4233,-92.8025
13026,NM,New Mexico,35.4338,-106.4250
13027,WV,West Virginia,39.5014,-80.1696
13028,SD,South Dakota,44.2823,-96.6868
13029,MS,Mississippi,33.6276,-88.4454
13030,CT,Connecticut,41.1730,-73.4166
13031,PA,Pennsylvania,40.2626,-78.8297
