origin,destination,date,count
3,19742,2006-09-26,1
3,24679,2006-09-26,1
3,27257,2006-09-26,1
3,29096,2006-09-26,3
3,33260,2006-09-26,1
4,81,2006-09-26,3
4,92,2006-09-26,2
4,104,2006-09-26,1
4,559,2006-09-26,199
4,701,2006-09-26,2
4,766,2006-09-26,6
4,1103,2006-09-26,13
4,1239,2006-09-26,1
4,2110,2006-09-26,12
4,2152,2006-09-26,20
4,2715,2006-09-26,191
4,2852,2006-09-26,8
4,2854,2006-09-26,4
4,3209,2006-09-26,199
4,3356,2006-09-26,9
4,3561,2006-09-26,116
4,3737,2006-09-26,3
4,4181,2006-09-26,18
4,5067,2006-09-26,2
4,5413,2006-09-26,2
4,6432,2006-09-26,64
4,6461,2006-09-26,4
4,7132,2006-09-26,10
4,7543,2006-09-26,1
4,7837,2006-09-26,1
4,7859,2006-09-26,4
4,8001,2006-09-26,1
4,8341,2006-09-26,6
4,8473,2006-09-26,75
4,8605,2006-09-26,14
4,9167,2006-09-26,3
4,9584,2006-09-26,1
4,10532,2006-09-26,3
4,10910,2006-09-26,5
4,10933,2006-09-26,5
4,10965,2006-09-26,5
4,11051,2006-09-26,8
4,11486,2006-09-26,4
4,11643,2006-09-26,3
4,12179,2006-09-26,3
4,12222,2006-09-26,3
4,13601,2006-09-26,19
4,13789,2006-09-26,2
4,14361,2006-09-26,7
4,14779,2006-09-26,34
4,15083,2006-09-26,1
4,15169,2006-09-26,95
4,16245,2006-09-26,47
4,16582,2006-09-26,1
4,19742,2006-09-26,1
4,20940,2006-09-26,2
4,22855,2006-09-26,2
4,23342,2006-09-26,7
4,24005,2006-09-26,22
4,24679,2006-09-26,1
4,24940,2006-09-26,4
4,25751,2006-09-26,10
4,29096,2006-09-26,3
4,29668,2006-09-26,2
4,29895,2006-09-26,1
4,30083,2006-09-26,1
4,30099,2006-09-26,4
4,30315,2006-09-26,56
4,31976,2006-09-26,107
4,33322,2006-09-26,1
4,33438,2006-09-26,2
4,33651,2006-09-26,11
4,36856,2006-09-26,9
6,3462,2006-09-26,2
6,4134,2006-09-26,2
6,4323,2006-09-26,1
6,8434,2006-09-26,1
6,9916,2006-09-26,79
6,11279,2006-09-26,2
6,15169,2006-09-26,2
6,17464,2006-09-26,16
6,18566,2006-09-26,6
6,19742,2006-09-26,1
6,24679,2006-09-26,2
6,29096,2006-09-26,5
6,33260,2006-09-26,2
7,17,2006-09-26,1
7,109,2006-09-26,4
7,174,2006-09-26,18
7,226,2006-09-26,7
7,1239,2006-09-26,16
7,2152,2006-09-26,14
7,2200,2006-09-26,3
7,2914,2006-09-26,6
7,3356,2006-09-26,5
7,3561,2006-09-26,13
7,3701,2006-09-26,1
7,6432,2006-09-26,2
7,6453,2006-09-26,12
7,6461,2006-09-26,31
7,7018,2006-09-26,1
7,7342,2006-09-26,4
7,8070,2006-09-26,1
7,8075,2006-09-26,5
7,9156,2006-09-26,11
7,10694,2006-09-26,3
7,10912,2006-09-26,1
7,11486,2006-09-26,1
7,11944,2006-09-26,1
7,12168,2006-09-26,2
7,12182,2006-09-26,3
7,13749,2006-09-26,2
7,14425,2006-09-26,19
7,14780,2006-09-26,209
7,15169,2006-09-26,95
7,15418,2006-09-26,1
7,16276,2006-09-26,2
7,18924,2006-09-26,47
7,19057,2006-09-26,18
7,20940,2006-09-26,11
7,21844,2006-09-26,319
7,22747,2006-09-26,4
7,24400,2006-09-26,2
7,25973,2006-09-26,49
7,26101,2006-09-26,3
7,26496,2006-09-26,2
7,29668,2006-09-26,1
7,29863,2006-09-26,5
7,30315,2006-09-26,1
7,33419,2006-09-26,14
7,36839,2006-09-26,2
7,36856,2006-09-26,19
8,3,2006-09-26,4
8,9,2006-09-26,1
8,109,2006-09-26,4
8,1668,2006-09-26,6
8,2152,2006-09-26,7
8,2846,2006-09-26,3
8,2914,2006-09-26,13
8,3356,2006-09-26,1
8,3701,2006-09-26,1
8,5662,2006-09-26,21
8,8075,2006-09-26,2
8,10316,2006-09-26,4
8,11078,2006-09-26,4
8,11486,2006-09-26,14
8,13749,2006-09-26,3
8,13768,2006-09-26,3
8,15169,2006-09-26,424
8,16852,2006-09-26,5
8,20569,2006-09-26,3
8,24400,2006-09-26,1
8,27357,2006-09-26,2
8,30060,2006-09-26,1
8,36856,2006-09-26,4
9,174,2006-09-26,1
9,209,2006-09-26,8
9,226,2006-09-26,5
9,2152,2006-09-26,10
9,2828,2006-09-26,1
9,3561,2006-09-26,16
9,4265,2006-09-26,2
9,4323,2006-09-26,4
9,6318,2006-09-26,36
9,6334,2006-09-26,30
9,6432,2006-09-26,14
9,6453,2006-09-26,6
9,6939,2006-09-26,17
9,7342,2006-09-26,1
9,7743,2006-09-26,14
9,8070,2006-09-26,1
9,8075,2006-09-26,3
9,10794,2006-09-26,78
9,11944,2006-09-26,12
9,12147,2006-09-26,7
9,12182,2006-09-26,10
9,13756,2006-09-26,18
9,14780,2006-09-26,10
9,14904,2006-09-26,1
9,15169,2006-09-26,879
9,15270,2006-09-26,2
9,19296,2006-09-26,4
9,20461,2006-09-26,88
9,22373,2006-09-26,5
9,23342,2006-09-26,2
9,25751,2006-09-26,2
9,26101,2006-09-26,5
9,27474,2006-09-26,2
9,30282,2006-09-26,5
9,33070,2006-09-26,1
9,33694,2006-09-26,27
9,36856,2006-09-26,3
