origin,destination,count
6,10292,2
6,13749,2
6,18118,2
6,27715,2
7,3,1
7,109,5
7,286,2
7,1239,10
7,2152,5
7,3356,1
7,3701,3
7,6408,39
7,8070,3
7,8560,1
7,9156,2
7,10292,5
7,10565,2
7,12222,1
7,14992,3
7,15169,38
7,18924,48
7,19306,25
7,21844,11
7,26711,3
8,3,5
8,14,5
8,71,1
8,109,5
8,137,3
8,209,6
8,225,6
8,577,10
8,701,2
8,1668,6
8,1712,28
8,1715,3
8,2152,6
8,2200,7
8,2514,3
8,2611,2
8,2846,3
8,3356,3
8,3561,2
8,3598,3
8,3701,4
8,4682,1
8,4725,28
8,4766,4409
8,5662,10
8,6459,55
8,6510,5
8,7859,3
8,8001,3
8,8070,2
8,8075,2
8,9457,1
8,9800,2291
8,10292,1
8,11078,7
8,11486,50
8,13749,1
8,15169,395
8,15598,1
8,21844,2
8,26101,30
8,26228,4
8,29720,6
8,30217,25
8,30315,11
9,102,97
9,174,4
9,209,19
9,237,2
9,559,15
9,1668,286
9,2013,63
9,2152,194
9,2714,8
9,2828,1
9,2914,44
9,3356,8
9,3561,40
9,3701,2
9,4182,42
9,4323,19
9,4436,3
9,6307,12
9,6318,33
9,6432,16
9,6453,8
9,6939,3
9,7132,7
9,7342,3
9,7743,14
9,7912,3
9,8002,1
9,8070,3
9,8075,5
9,8182,17
9,10316,4
9,10565,1
9,10763,1
9,10794,10
9,11486,5
9,11734,2
9,11944,225
9,12111,25
9,12168,4
9,12179,18
9,12182,117
9,13756,8
9,14297,2
9,14744,3
9,14745,1
9,14835,3
9,15104,58
9,15169,112
9,15270,9
9,15496,19
9,17020,211
9,17225,1
9,17392,4
9,19024,1
9,20021,4
9,22373,14
9,22958,52
9,25737,8
9,26914,2
9,29960,1
9,30678,5
9,31883,1
9,33070,6
9,33694,1
0,209,1
0,701,6
0,1239,1
0,2152,1
0,2514,1
0,2856,1
0,3356,2
0,3462,1
0,3495,1
0,3561,40
0,3671,24
0,4765,1
0,4766,1
0,6342,36
0,6354,1
0,6400,1
0,6432,4
0,6724,1
0,6939,1
0,6993,2
0,7132,1
0,7393,1
0,7552,1
0,8002,1
0,8151,1
0,8400,3
0,8560,1
0,9121,1
0,9394,1
0,11062,2
0,11398,1
0,11819,1
0,13462,15
0,13867,1
0,17228,1
0,17608,1
0,17858,1
0,18229,2
0,19262,2
0,20115,1
0,22291,1
0,23404,1
0,23771,1
0,26085,2
0,26101,3
0,26831,1
0,27364,1
0,30099,1
0,33287,6
0,33657,1
1,721,2
1,2200,2
1,3265,1342
1,3549,2
1,3561,10
1,4134,1
