ASN,latitude,longitude
5089,29.2858,-81.0559
5377,39.0438,-77.4874
5379,42.5728,-71.413
5384,41.2213,-81.6327
5390,39.1031,-84.512
5396,41.457,-72.8231
5400,33.4768,-86.8808
5408,33.4484,-112.074
5410,39.7788,-77.6736
5413,44.4759,-73.2121
5417,37.3382,-121.886
5430,37.5552,-122.277
5432,39.011,-77.4711
5462,38.9108,-94.3822
5464,41.8781,-87.6298
5466,21.3069,-157.858
5483,39.0796,-77.073
5486,40.7149,-74.0145
5511,41.4993,-81.6944
5539,25.762,-80.1923
5550,40.5757,-111.892
5552,28.6664,-81.4018
5561,38.9072,-77.0369
5603,39.0438,-77.4874
5610,37.3382,-121.886
5615,41.8781,-87.6298
5617,40.7369,-74.172
5631,42.4048,-71.2743
5645,47.4117,-122.245
5650,40.5778,-124.263
5653,37.7673,-122.415
5661,37.6585,-121.902
5662,42.8448,-106.238
5663,35.9463,-86.8085
5668,48.7939,-122.626
5686,29.7858,-95.8245
5691,41.2641,-96.1127
5693,34.0522,-118.244
5713,39.7467,-75.5491
5719,39.5994,-104.897
5723,41.0921,-79.9121
5731,37.4883,-122.225
5739,39.9526,-75.1652
5744,34.0757,-84.2643
5760,43.1368,-70.6456
5763,32.0308,-102.106
5774,41.7557,-124.203
5778,46.7296,-94.6859
5779,39.4633,-76.1204
5786,41.321,-87.2015
5872,33.8229,-84.3686
5957,33.8229,-84.3686
6057,53.8946,-166.54
6079,39.6252,-104.897
6102,40.7128,-74.006
6106,41.0928,-73.4197
6122,45.3159,-122.937
6128,34.2342,-118.594
6130,32.989,-117.271
6140,37.838,-122.282
6147,40.7128,-74.006
6167,44.5646,-123.262
6181,42.0656,-94.8673
6197,33.749,-84.388
6198,25.695,-80.3828
6221,36.1334,-115.278
6245,33.749,-84.388
6261,40.0163,-105.281
6263,39.7392,-104.99
6307,33.6643,-112.127
6315,40.918,-111.872
6316,33.6079,-92.7402
6318,32.7947,-96.8089
6325,40.4694,-90.6891
6327,45.5715,-96.0476
6332,33.1981,-96.616
6334,44.5071,-88.0703
6337,37.4719,-121.92
6342,37.0511,-122.015
6348,41.4993,-81.6944
6350,41.1332,-104.819
6354,37.4458,-122.161
6356,28.5383,-81.3792
6360,33.749,-84.388
6364,37.3724,-121.974
6366,39.1922,-76.5938
6372,35.1861,-101.918
6381,33.4484,-112.074
6385,61.2538,-149.692
6386,42.0905,-78.4276
6388,43.9749,-124.104
6395,39.0767,-108.553
6400,39.0438,-77.4874
6405,39.0528,-76.9259
6407,48.9972,-104.575
6408,30.8463,-93.2891
6412,38.9072,-77.0369
6428,46.3533,-91.8224
6429,30.3309,-81.6622
6431,40.6713,-74.6357
6432,38.5017,-107.914
6453,45.5214,-122.991
6459,44.9762,-93.2686
6461,45.5272,-122.936
6467,35.2219,-80.8517
6471,40.7437,-73.9894
6472,41.5024,-81.6894
6478,40.2889,-76.8903
6496,25.762,-80.1923
6503,27.5036,-99.5076
6508,32.814,-96.9489
6510,40.4342,-111.89
6517,34.1581,-118.831
6539,37.3393,-122.015
6568,32.5896,-92.0669
6577,39.9363,-74.95
6580,44.106,-103.265
6619,38.9506,-77.3646
6621,45.5051,-122.675
6629,32.3362,-90.1451
6641,39.9747,-82.8947
6648,40.5488,-84.5699
6650,33.8575,-118.31
6678,33.8875,-84.4678
6700,40.7357,-74.1724
6702,19.4563,-155.865
6713,32.952,-96.8025
6724,39.6553,-106.829
6728,37.3882,-121.888
6730,44.9507,-91.3793
6731,33.749,-84.388
6739,40.0187,-105.256
6740,37.8759,-122.274
6746,37.5485,-121.989
6778,35.2271,-80.8431
6799,27.9624,-82.7239
6802,34.0587,-84.2901
6805,44.0218,-88.5809
6821,39.0438,-77.4874
6830,40.7307,-73.9915
6848,37.7749,-122.419
6850,38.9072,-77.0369
6855,34.4769,-114.331
6866,33.4484,-112.074
6867,26.1219,-80.1416
6871,38.0306,-94.0897
6893,37.8035,-122.272
6903,47.2529,-122.444
6917,38.594,-121.547
6936,39.8021,-75.5059
6939,61.3889,-149.482
6966,41.8822,-87.6276
6971,32.3187,-102.546
6981,34.0522,-118.244
6983,43.0295,-88.1855
6984,70.4244,-148.871
6992,41.8548,-87.6185
6993,45.5051,-122.675
6994,41.8882,-87.6322
7011,37.5244,-122.266
7015,39.9517,-76.7161
7016,40.064,-80.7209
7017,61.5828,-159.541
7018,65.6101,-168.092
7021,38.9842,-77.0948
7029,56.6,-169.542
7045,33.8937,-84.4603
7046,30.4499,-91.185
7065,38.5471,-122.816
7066,41.8781,-87.6298
7091,48.1095,-123.67
7105,40.7128,-74.006
7113,33.4484,-112.074
7132,38.1978,-120.687
7151,37.3688,-122.036
7224,47.6224,-122.337
7228,43.1566,-77.6088
7233,39.1638,-119.767
7252,42.3212,-85.1797
7258,56.6,-169.542
7260,33.4664,-112.066
7263,35.2006,-106.701
7265,32.2915,-80.869
7296,45.5793,-122.571
7301,34.102,-118.344
7303,32.5896,-92.0669
7314,41.8781,-87.6298
7317,21.3069,-157.858
7324,40.076,-75.2877
7332,39.7594,-86.1722
7333,34.0522,-118.244
7341,41.2325,-80.4957
7342,34.0479,-118.256
7349,35.2271,-80.8431
7355,40.7501,-73.9783
7362,28.5028,-81.549
7377,21.3064,-157.866
7384,30.4317,-91.0623
7385,60.42,-149.37
7393,38.627,-90.1994
7395,34.0522,-118.244
7418,32.8098,-96.8496
7455,38.9917,-77.4205
7470,44.9465,-93.0964
7472,33.1581,-117.351
7482,40.8598,-74.0593
7491,45.5152,-122.678
7496,37.7749,-122.419
7497,25.7739,-80.1883
7499,46.8464,-114.038
7506,39.2968,-120.673
7509,41.8769,-87.6499
7535,33.4484,-112.074
7539,47.3809,-122.235
7543,39.8471,-104.979
7545,41.8835,-87.6535
7552,39.2047,-96.619
7557,41.9503,-88.1459
7575,34.0633,-117.651
7582,34.2819,-118.439
7602,42.397,-71.2683
7629,47.6137,-122.338
7643,34.0522,-118.244
7693,34.0522,-118.244
7718,37.3382,-121.886
7725,39.7523,-104.984
7726,33.9889,-118.472
7735,34.0522,-118.244
7738,37.3541,-121.955
7743,42.3649,-71.0889
7757,21.3333,-157.909
7770,37.3782,-121.955
7774,40.7433,-74.0079
7776,41.2565,-95.9345
7788,44.1169,-69.1031
7794,34.1545,-82.4024
7796,39.0226,-77.455
7805,34.1701,-86.8473
7837,41.9803,-87.7191
7838,35.0456,-85.3097
7839,38.9553,-94.7519
7847,30.5743,-97.4407
7853,33.6723,-117.839
7859,39.1673,-119.768
7872,29.9354,-90.1227
7891,44.4822,-89.964
7893,35.1606,-89.8674
7896,40.8169,-96.7011
7912,33.8466,-84.3671
7939,28.5969,-81.2033
7941,37.3382,-121.886
7961,37.6305,-122.411
7992,40.7128,-74.006
7996,40.0544,-82.8969
8001,39.7554,-105.008
8002,42.6494,-73.7511
8011,35.1033,-106.589
8014,25.9228,-80.1562
8043,32.3919,-98.8255
8047,60.8969,-162.459
8048,33.9163,-84.3535
8052,39.7392,-104.99
8062,41.2592,-95.9352
8069,47.6423,-122.137
8070,47.6423,-122.137
8075,56.6,-169.542
8111,42.9634,-85.6681
8112,41.8995,-87.9403
8113,41.8781,-87.6298
8119,41.2641,-96.0536
8121,38.9478,-76.8623
8134,46.7788,-88.4903
