origin,destination,count
0,6739,6
0,6740,1
0,6746,324
0,6778,1
0,6799,4
0,6802,2
0,6821,1
0,6830,8
0,6848,1
0,6855,1
0,6871,4
0,6903,1
0,6939,70
0,6983,2
0,6993,44
0,7015,274
0,7016,2
0,7017,1
0,7018,39
0,7021,3
0,7029,14
0,7066,2
0,7132,523
0,7228,1
0,7265,1
0,7303,2
0,7314,4051
0,7377,9
0,7393,6
0,7395,1
0,7418,3
0,7455,2
0,7470,11
0,7482,9
0,7491,2
0,7496,1
0,7497,44
0,7506,1
0,7535,1
0,7539,1
0,7543,28
0,7545,1
0,7552,5
0,7557,1
0,7602,6
0,7643,15
0,7693,1
0,7725,2
0,7738,35
0,7757,2
0,7770,1
0,7776,2
0,7788,1
0,7796,23
0,7853,1
0,7891,2
0,7893,14
0,7992,1
0,8001,3
0,8002,8
0,8014,1
0,8047,1
0,8048,1
0,8052,2
0,8075,16
0,8112,1
0,8113,5
0,8134,1
0,8151,88
0,8163,1
0,8166,1
0,8167,29
0,8176,1
0,8220,3
0,8228,2
0,8240,1
0,8304,1
0,8323,2
0,8339,2
0,8341,1
0,8343,171
0,8346,2
0,8359,9
0,8376,3
0,8394,1
0,8400,3
0,8402,2374
0,8404,3
0,8422,23
0,8434,1
0,8447,1
0,8452,2
0,8509,1
0,8514,1
0,8517,2
0,8529,1
0,8551,1
0,8553,1
0,8560,734
0,8584,1
0,8608,1
0,8615,1
0,8638,1
0,8696,1
0,8705,2
0,8708,16
0,8732,1
0,8737,3
0,8751,1
0,8764,3
0,8839,1
0,8866,2
0,8881,1
0,8972,6
0,8997,1
0,9038,4
0,9050,3
0,9080,3
0,9095,1
0,9105,2
0,9116,3
0,9121,69
0,9141,4
0,9143,5
0,9145,2
0,9148,1
0,9277,1
0,9299,2
0,9304,345
0,9316,6814
0,9318,5709
0,9370,837
0,9371,1908
0,9394,11
0,9415,3
0,9416,2
0,9457,2
0,9459,2
0,9498,18
0,9506,4
0,9551,1
0,9583,56
0,9584,1
0,9600,1
0,9613,1
0,9617,2
0,9625,15
0,9686,2
0,9694,1
0,9701,7
0,9706,4
0,9708,1
0,9800,103
0,9803,2
0,9806,4
0,9808,6
0,9811,1
0,9812,1
0,9814,2
0,9824,6
0,9829,30
0,9837,5
0,9853,1
0,9908,2
0,9916,1
0,9919,2
0,9924,1236
0,9929,4
0,9943,2
0,10013,8
0,10029,1
0,10036,1
0,10091,5
0,10139,4
0,10197,1
0,10201,1
0,10292,1
0,10311,2
0,10318,5
0,10421,2
0,10429,2
0,10439,1379
0,10481,5
0,10532,4
0,10738,15
0,10796,15
0,10834,2
0,10838,1
0,10912,7
0,10938,2
0,10978,1
0,10994,8
0,11060,4
0,11062,2
0,11146,2
0,11172,2
0,11232,1
0,11290,7
0,11305,2
0,11351,1215
0,11383,2
0,11398,10
0,11426,15
0,11427,17
0,11473,1
0,11478,1
0,11486,18
0,11492,1
0,11530,3
0,11532,1
0,11556,2
0,11625,1
0,11643,4
0,11646,1
0,11664,2
0,11683,1
0,11707,3
0,11739,1
0,11776,2
0,11790,2
0,11814,1
0,11819,1
0,11829,7
0,11892,2
0,11913,2
0,11921,1
0,11955,4
0,12021,2
0,12129,1
0,12131,5
0,12167,1
0,12173,1055
0,12180,1
0,12217,1
0,12252,53
0,12262,2
0,12270,1
0,12271,5
0,12312,4
0,12322,2851
0,12334,1
0,12338,1
0,12357,1
0,12392,5
0,12420,1
0,12424,1
